school,grade,number_candidates,score,subject,year,area
MORNEU SHEPPELL SECONDARY,A,0,12,english,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,english,2019,kk
MORNEU SHEPPELL SECONDARY,B+,0,10,english,2019,kk
MORNEU SHEPPELL SECONDARY,B,0,9,english,2019,kk
MORNEU SHEPPELL SECONDARY,B-,5,8,english,2019,kk
MORNEU SHEPPELL SECONDARY,C+,6,7,english,2019,kk
MORNEU SHEPPELL SECONDARY,C,10,6,english,2019,kk
MORNEU SHEPPELL SECONDARY,C-,13,5,english,2019,kk
MORNEU SHEPPELL SECONDARY,D+,15,4,english,2019,kk
MORNEU SHEPPELL SECONDARY,D,20,3,english,2019,kk
MORNEU SHEPPELL SECONDARY,D-,4,2,english,2019,kk
MORNEU SHEPPELL SECONDARY,E,0,1,english,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,english,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,english,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,english,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,english,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,english,2019,kk
VISION SECONDARY,A,0,12,english,2019,kk
VISION SECONDARY,A-,0,11,english,2019,kk
VISION SECONDARY,B+,1,10,english,2019,kk
VISION SECONDARY,B,0,9,english,2019,kk
VISION SECONDARY,B-,4,8,english,2019,kk
VISION SECONDARY,C+,5,7,english,2019,kk
VISION SECONDARY,C,16,6,english,2019,kk
VISION SECONDARY,C-,25,5,english,2019,kk
VISION SECONDARY,D+,143,4,english,2019,kk
VISION SECONDARY,D,197,3,english,2019,kk
VISION SECONDARY,D-,33,2,english,2019,kk
VISION SECONDARY,E,5,1,english,2019,kk
VISION SECONDARY,X,0,0,english,2019,kk
VISION SECONDARY,Y,0,0,english,2019,kk
VISION SECONDARY,U,0,0,english,2019,kk
VISION SECONDARY,P,0,0,english,2019,kk
VISION SECONDARY,W,0,0,english,2019,kk
KAKUMA REFUGEE SECONDARY,A,0,12,english,2019,kk
KAKUMA REFUGEE SECONDARY,A-,0,11,english,2019,kk
KAKUMA REFUGEE SECONDARY,B+,0,10,english,2019,kk
KAKUMA REFUGEE SECONDARY,B,2,9,english,2019,kk
KAKUMA REFUGEE SECONDARY,B-,2,8,english,2019,kk
KAKUMA REFUGEE SECONDARY,C+,8,7,english,2019,kk
KAKUMA REFUGEE SECONDARY,C,13,6,english,2019,kk
KAKUMA REFUGEE SECONDARY,C-,22,5,english,2019,kk
KAKUMA REFUGEE SECONDARY,D+,159,4,english,2019,kk
KAKUMA REFUGEE SECONDARY,D,223,3,english,2019,kk
KAKUMA REFUGEE SECONDARY,D-,88,2,english,2019,kk
KAKUMA REFUGEE SECONDARY,E,9,1,english,2019,kk
KAKUMA REFUGEE SECONDARY,X,0,0,english,2019,kk
KAKUMA REFUGEE SECONDARY,Y,0,0,english,2019,kk
KAKUMA REFUGEE SECONDARY,U,0,0,english,2019,kk
KAKUMA REFUGEE SECONDARY,P,0,0,english,2019,kk
KAKUMA REFUGEE SECONDARY,W,0,0,english,2019,kk
GREEN LIGHT SECONDARY,A,0,12,english,2019,kk
GREEN LIGHT SECONDARY,A-,0,11,english,2019,kk
GREEN LIGHT SECONDARY,B+,0,10,english,2019,kk
GREEN LIGHT SECONDARY,B,0,9,english,2019,kk
GREEN LIGHT SECONDARY,B-,8,8,english,2019,kk
GREEN LIGHT SECONDARY,C+,7,7,english,2019,kk
GREEN LIGHT SECONDARY,C,13,6,english,2019,kk
GREEN LIGHT SECONDARY,C-,17,5,english,2019,kk
GREEN LIGHT SECONDARY,D+,89,4,english,2019,kk
GREEN LIGHT SECONDARY,D,171,3,english,2019,kk
GREEN LIGHT SECONDARY,D-,69,2,english,2019,kk
GREEN LIGHT SECONDARY,E,7,1,english,2019,kk
GREEN LIGHT SECONDARY,X,0,0,english,2019,kk
GREEN LIGHT SECONDARY,Y,0,0,english,2019,kk
GREEN LIGHT SECONDARY,U,1,0,english,2019,kk
GREEN LIGHT SECONDARY,P,0,0,english,2019,kk
GREEN LIGHT SECONDARY,W,0,0,english,2019,kk
SOMALI BANTU SECONDARY,A,0,12,english,2019,kk
SOMALI BANTU SECONDARY,A-,0,11,english,2019,kk
SOMALI BANTU SECONDARY,B+,0,10,english,2019,kk
SOMALI BANTU SECONDARY,B,3,9,english,2019,kk
SOMALI BANTU SECONDARY,B-,8,8,english,2019,kk
SOMALI BANTU SECONDARY,C+,3,7,english,2019,kk
